survey,female_var
afrob7,as.numeric(q101==2)
amb_antigua2016,as.numeric(q1==2)
amb_argentina2016,as.numeric(q1==2)
amb_argentina2018,as.numeric(q1==2)
amb_argentina2023,as.numeric(q1tc_r==2)
amb_bahamas2023,as.numeric(q1tc_r==2)
amb_belize2023,as.numeric(q1tc_r==2)
amb_bolivia2016,as.numeric(q1==2)
amb_bolivia2018,as.numeric(q1==2)
amb_bolivia2023,as.numeric(q1tc_r==2)
amb_brazil2016,as.numeric(q1==2)
amb_brazil2018,as.numeric(q1==2)
amb_brazil2023,as.numeric(q1tc_r==2)
amb_canada2016,as.numeric(q1==2)
amb_canada2023,as.numeric(q1tc_r==2)
amb_chile2016,as.numeric(q1==2)
amb_chile2018,as.numeric(q1==2)
amb_chile2023,as.numeric(q1tc_r==2)
amb_colombia2016,as.numeric(q1==2)
amb_colombia2023,as.numeric(q1tc_r==2)
amb_combo,as.numeric(q1==2)
amb_costarica2016,as.numeric(q1==2)
amb_costarica2018,as.numeric(q1==2)
amb_costarica2023,as.numeric(q1tc_r==2)
amb_dominica2016,as.numeric(q1==2)
amb_dominicanrepublic2023,as.numeric(q1tc_r==2)
amb_ecuador2018,as.numeric(q1==2)
amb_ecuador2023,as.numeric(q1tc_r==2)
amb_elsalvador2023,as.numeric(q1tc_r==2)
amb_grenada2023,as.numeric(q1tc_r==2)
amb_guatemala2023,as.numeric(q1tc_r==2)
amb_guyana2016,as.numeric(q1==2)
amb_honduras2023,as.numeric(q1tc_r==2)
amb_jamaica2023,as.numeric(q1tc_r==2)
amb_mexico2023,as.numeric(q1tc_r==2)
amb_panama2016,as.numeric(q1==2)
amb_panama2018,as.numeric(q1==2)
amb_panama2023,as.numeric(q1tc_r==2)
amb_paraguay2023,as.numeric(q1tc_r==2)
amb_peru2023,as.numeric(q1tc_r==2)
amb_stkittsnevis2016,as.numeric(q1==2)
amb_stlucia2016,as.numeric(q1==2)
amb_stvincent2016,as.numeric(q1==2)
amb_suriname2023,as.numeric(q1tc_r==2)
amb_trinidad2023,as.numeric(q1tc_r==2)
amb_uruguay2016,as.numeric(q1==2)
amb_uruguay2018,as.numeric(q1==2)
amb_uruguay2023,as.numeric(q1tc_r==2)
amb_us2016,as.numeric(q1==2)
amb_us2018,as.numeric(q1==2)
amb_us2023,as.numeric(q1tc_r==2)
amb_venezuela2016,as.numeric(q1==2)
arabb5,as.numeric(q1002==2)
arabb7,as.numeric(q1002==2)
cceb2003_6,as.numeric(d14==2)
eb1002,as.numeric(d10==2)
eb1013,as.numeric(d10==2)
eb18,as.numeric(v66==2)
eb29,as.numeric(v426==2)
eb37,as.numeric(v615==2)
eb39,as.numeric(v686==2)
eb411,as.numeric(v325==2)
eb431,as.numeric(v441==2)
eb511,as.numeric(v737==2)
eb57,as.numeric(v512==2)
eb58,as.numeric(v701==2)
eb592,as.numeric(v492==2)
eb621,as.numeric(v585==2)
eb672,as.numeric(v548==2)
eb681,as.numeric(v420==2)
eb682,as.numeric(v618==2)
eb692,as.numeric(v767==2)
eb711,as.numeric(v644==2)
eb721,as.numeric(v441==2)
eb735,as.numeric(v385==2)
eb742,as.numeric(v602==2)
eb751,as.numeric(v103==2)
eb753,as.numeric(v615==2)
eb754,as.numeric(v594==2)
eb763,as.numeric(d10==2)
eb773,as.numeric(d10==2)
eb781,as.numeric(d10==2)
eb793,as.numeric(d10==2)
eb801,as.numeric(d10==2)
eb802,as.numeric(d10==2)
eb812,as.numeric(d10==2)
eb814,as.numeric(d10==2)
eb823,as.numeric(d10==2)
eb831,as.numeric(d10==2)
eb833,as.numeric(d10==2)
eb834,as.numeric(d10==2)
eb843,as.numeric(d10==2)
eb852,as.numeric(d10==2)
eb862,as.numeric(d10==2)
eb871,as.numeric(d10==2)
eb873,as.numeric(d10==2)
eb881,as.numeric(d10==2)
eb883,as.numeric(d10==2)
eb891,as.numeric(d10==2)
eb901,as.numeric(d10==2)
eb902,as.numeric(d10==2)
eb903,as.numeric(d10==2)
eb913,as.numeric(d10==2)
eb914,as.numeric(d10==2)
eb922,as.numeric(d10==2)
eb924,as.numeric(d10==2)
eb941,as.numeric(d10==2)
eb943,as.numeric(d10==2)
eb951,as.numeric(d10==2)
eb952,as.numeric(d10==2)
eb953,as.numeric(d10==2)
eb961,as.numeric(d10==2)
eb962,as.numeric(d10==2)
eb963,as.numeric(d10==2)
eb973,as.numeric(d10==2)
eb975,as.numeric(d10==2)
eb981,as.numeric(d10==2)
eb982,as.numeric(d10==2)
eb994,as.numeric(d10==2)
eib2018,as.numeric(gender==2)
eib2019,as.numeric(sd1==2)
eib2020,as.numeric(sd1==2)
eib2021,as.numeric(sd1==2)
eib2022,as.numeric(sd1==2)
eib2022_afr,as.numeric(sd1==2)
eib2023,as.numeric(sd1==2)
eib2023_latam,as.numeric(sd1==2)
eib2024,as.numeric(sd1==2)
ess10,as.numeric(gndr==2)
ess11,as.numeric(gndr==2)
ess8,as.numeric(gndr==2)
feb123,as.numeric(sex==2)
issp1993,as.numeric(v200==2)
issp2000,as.numeric(v200==2)
issp2010,as.numeric(sex==2)
issp2020,as.numeric(sex==2)
lits_wave2,as.numeric(select_r==2)
lits_wave3,as.numeric(gender_pr==2)
nsee_combo,as.numeric(demog_gender==2)
pew2002,as.numeric(q73==2)
pew2006,as.numeric(sex==2)
pew2007,as.numeric(q107==2)
pew2008,as.numeric(q75==2)
pew2009_spring,as.numeric(q80==2)
pew2009,as.numeric(q53==2)
pew2010,as.numeric(q120==2)
pew2013,as.numeric(q164==2)
pew2014,as.numeric(q132==2)
pew2014_india,as.numeric(q164==2)
pew2015,as.numeric(q145==2)
pew2016,as.numeric(q107==2)
pew2017,as.numeric(sex==2)
pew2018,as.numeric(sex==2)
pew2020,as.numeric(sex==2)
pew2021,as.numeric(sex==2)
pew2022,as.numeric(sex==2)
pewrel2009_afr,as.numeric(q96==2)
pewrel2014_latam,as.numeric(q73==2)
pewrel2015_ee,as.numeric(qgen==2)
pipa2007,as.numeric(gender==2)
pipa2009,as.numeric(dd1==2)
pipa200907,as.numeric(dd1==2)
pipa201007,as.numeric(dd1==2)
prisms2014,as.numeric(qg1==2)
rtm2018,as.numeric(sex==2)
rtm2020,as.numeric(s2==2)
rtm2022,as.numeric(s2==2)
szazadveg_cc2021,as.numeric(gender==2)
tt2002,as.numeric(var046==2)
tt2005,as.numeric(var004==2)
tt2006,as.numeric(var003==2)
tt2007,as.numeric(gender==2)
tt2008,as.numeric(gender==2)
tt2009,as.numeric(gender==2)
tt2010,as.numeric(gender==2)
tt2013,as.numeric(d1==2)
tt2014,as.numeric(d1==2)
tt_im2009,as.numeric(da==2)
tt_im2010,as.numeric(d1==2)
tt_im2011,as.numeric(d1==2)
wrp19_21,as.numeric(gender==2)
wvs_combo,as.numeric(x001==2)
lb1995,as.numeric(s1==2)
lb1996,as.numeric(s1==2)
lb1997,as.numeric(s1==2)
lb1998,as.numeric(s1==2)
lb2000,as.numeric(s1==2)
lb2001,as.numeric(s1==2)
lb2002,as.numeric(s1==2)
lb2003,as.numeric(s1==2)
lb2004,as.numeric(s1==2)
lb2005,as.numeric(s6==2)
lb2006,as.numeric(s6==2)
lb2007,as.numeric(s10==2)
lb2008,as.numeric(s8==2)
lb2009,as.numeric(s5==2)
lb2010,as.numeric(s7==2)
lb2011,as.numeric(s16==2)
lb2013,as.numeric(s10==2)
lb2015,as.numeric(s12==2)
lb2016,as.numeric(sexo==2)
lb2017,as.numeric(sexo==2)
lb2018,as.numeric(sexo==2)
lb2020,as.numeric(sexo==2)
lb2023,as.numeric(sexo==2)